season,team_id,team,made_playoffs,source_url
2016,15362,Portland Thorns FC,Yes,https://www.espn.com/soccer/match/_/gameId/467303
2016,15365,Washington Spirit,Yes,https://www.espn.com/soccer/match/_/gameId/467304
2016,15360,Chicago Red Stars,Yes,https://www.espn.com/soccer/match/_/gameId/467304
2016,15366,Western New York Flash,Yes,https://www.espn.com/soccer/match/_/gameId/467303
2016,15363,Seattle Reign FC,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15361,FC Kansas City,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15364,Sky Blue FC,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,17346,Houston Dash,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,18206,Orlando Pride,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15359,Boston Breakers,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2017,15366,North Carolina Courage,Yes,https://www.espn.com/soccer/match/_/gameId/497307
2017,15362,Portland Thorns FC,Yes,https://www.espn.com/soccer/match/_/gameId/497308
2017,18206,Orlando Pride,Yes,https://www.espn.com/soccer/match/_/gameId/497308
2017,15360,Chicago Red Stars,Yes,https://www.espn.com/soccer/match/_/gameId/497307
2017,15363,Seattle Reign FC,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
2017,15364,Sky Blue FC,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
2017,15361,FC Kansas City,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
2017,17346,Houston Dash,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
2017,15359,Boston Breakers,No,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
