season,kind,source_url,local_file,sha256,retrieved_utc
2016,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000,raw\espn_2016.json,ebcd520d1f0b6b5e1b86549b6e50ee23a187f771c0cc6aaadbb1a2781ded73a5,2026-09-02T17:00:07.449686+00:00
2016,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016,raw\standings_2016.json,dfff564f3333a03eb75d2eeef89864e80dca1196b4c9f7e9cadc6e7654e1f1fb,2026-09-02T17:00:44.627495+00:00
2017,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000,raw\espn_2017.json,7380283ebe89f03a3bf8a6037711f1cc8b0056a17aa7672115706530a28f03ef,2026-09-02T17:00:07.262077+00:00
2017,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017,raw\standings_2017.json,63e01d8f5c4fe3424aff606d73989614159c1e18855cad16928b7b4a2fabfa09,2026-09-02T17:00:44.627688+00:00
2018,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2018&limit=1000,raw\espn_2018.json,6b0f057097224ad3dee73e628d9fa8d04fe677b8ef782496f21b95f84d576023,2026-09-02T17:00:07.437046+00:00
2018,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2018,raw\standings_2018.json,d1b6943a5f0220b1eefb4c4876047b8291f1ade8b79c2464fbc2e2a1d7700a94,2026-09-02T17:00:44.494081+00:00
2019,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2019&limit=1000,raw\espn_2019.json,ba8568c8b6966fb09af371a6bf7ab2193cf7bb0ace27d363d0aa1b991ca8cc71,2026-09-02T17:00:07.477306+00:00
2019,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2019,raw\standings_2019.json,a57b1771b79846f27a14ec489ca03752492f3456f8a0a699cc5d6a8104bde1c8,2026-09-02T17:00:44.656349+00:00
2021,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2021&limit=1000,raw\espn_2021.json,ddd159af3d2ae2a61b3022323678f663ccbb4ad8ed425f8be5fd69b4d7d55bd3,2026-09-02T17:00:07.522619+00:00
2021,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2021,raw\standings_2021.json,75f614789e362ae43f743500b959e0046070ba7080070edf7c6df78419f0de95,2026-09-02T17:00:44.699755+00:00
2022,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2022&limit=1000,raw\espn_2022.json,d5da76aa332333393e11bc3d4a4303d9a66f4e9f2e621626dfc09dfff16aeeb0,2026-09-02T17:00:14.731264+00:00
2022,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2022,raw\standings_2022.json,28232ee366c6404fc92949be8360ea56a471a2eb19f52f2eb44b69e44a2f7d66,2026-09-02T17:00:51.919338+00:00
2023,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2023&limit=1000,raw\espn_2023.json,c2ccdbacbfd19e214ec26430b9bbe67136c864d5ba25cafe8afd8677db3a8743,2026-09-02T17:00:15.083322+00:00
2023,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2023,raw\standings_2023.json,2924e1d4f945437fb49ec12a66c9c640a22aa10b45851d98b74ae3afc0b9e536,2026-09-02T17:00:51.853458+00:00
2024,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2024&limit=1000,raw\espn_2024.json,22332870d036affa565e177b9e672a90e88037abc3013d9b2a50a8100b5db725,2026-09-02T17:00:14.733252+00:00
2024,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2024,raw\standings_2024.json,80b57eced8668fde353798adea7658756cdec28a371ac8b71ec38b6a24fec816,2026-09-02T17:00:51.696899+00:00
2025,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2025&limit=1000,raw\espn_2025.json,1d14b05dd9fd2fdf0a4e148ec73dd777a469f101aa8eeb5c9e6d02a89b77b0c1,2026-09-02T17:00:14.625552+00:00
2025,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2025,raw\standings_2025.json,4e62226169f424666a3c8945b453c3416428c181aab49daf46301063c531351a,2026-09-02T17:00:51.878969+00:00
2026,espn,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000,raw\espn_2026.json,6d887388c11da73618a469f877555e6d650251cbefaa04617308e50b9eefe72c,2026-09-02T17:00:14.621135+00:00
2026,standings,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2026,raw\standings_2026.json,1deef2ecb8123756585d73f586d24f43ad1f7b65bddd656428467e1f751426a6,2026-09-02T17:00:51.899158+00:00
