season,team_id,team,source_rank,games_played,points,wins,draws,losses,goals_for,goals_against,source_url
2016,15362,Portland Thorns FC,1,20.0,41.0,12.0,5.0,3.0,35.0,19.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15365,Washington Spirit,2,20.0,39.0,12.0,3.0,5.0,30.0,21.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15360,Chicago Red Stars,3,20.0,33.0,9.0,6.0,5.0,24.0,20.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15366,Western New York Flash,4,20.0,32.0,9.0,5.0,6.0,40.0,26.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15363,Seattle Reign FC,5,20.0,30.0,8.0,6.0,6.0,29.0,21.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15361,FC Kansas City,6,20.0,26.0,7.0,5.0,8.0,18.0,20.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15364,Sky Blue FC,7,20.0,26.0,7.0,5.0,8.0,24.0,30.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,17346,Houston Dash,8,20.0,22.0,6.0,4.0,10.0,29.0,29.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,18206,Orlando Pride,9,20.0,19.0,6.0,1.0,13.0,20.0,30.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2016,15359,Boston Breakers,10,20.0,11.0,3.0,2.0,15.0,14.0,47.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2016
2017,15366,North Carolina Courage,1,24.0,49.0,16.0,1.0,7.0,38.0,22.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
2017,15362,Portland Thorns FC,2,24.0,47.0,14.0,5.0,5.0,37.0,20.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
2017,18206,Orlando Pride,3,24.0,40.0,11.0,7.0,6.0,45.0,31.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
2017,15360,Chicago Red Stars,4,24.0,39.0,11.0,6.0,7.0,33.0,30.0,https://site.web.api.espn.com/apis/v2/sports/soccer/usa.nwsl/standings?season=2017
