season,team_id,team,team_season_id,snapshot_date,checkpoint_pct,dataset_role,made_playoffs,season_pct,points_per_game,win_pct,goal_diff_per_game,last_5_points,last_5_goal_diff,points_rank_pct,points_gap_to_cutline,playoff_share,games_played,scheduled_games,games_remaining,league_teams,playoff_spots,points,match_points,points_adjustment,wins,draws,losses,goals_for,goals_against,goal_diff,cutline_points,last_5_games,last_match_date,baseline_top_k,source_url
2026,15364,Gotham FC,2026_15364,2026-09-01,,score,,0.7333333333333333,2.0454545454545454,0.5909090909090909,0.5909090909090909,11,3,0.0,14,0.5,22,30,8,16,8,45,45,0,13,6,3,27,14,13,31,5,2026-08-28,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,15365,Washington Spirit,2026_15365,2026-09-01,,score,,0.7333333333333333,1.8181818181818181,0.5454545454545454,0.5454545454545454,4,-2,0.06666666666666667,9,0.5,22,30,8,16,8,40,40,0,12,4,6,31,19,12,31,5,2026-08-30,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,19141,Utah Royals,2026_19141,2026-09-01,,score,,0.7333333333333333,1.7727272727272727,0.5454545454545454,0.5,9,3,0.16666666666666666,8,0.5,22,30,8,16,8,39,39,0,12,3,7,39,28,11,31,5,2026-08-29,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,21423,San Diego Wave FC,2026_21423,2026-09-01,,score,,0.7333333333333333,1.7727272727272727,0.5454545454545454,0.3181818181818182,10,3,0.16666666666666666,8,0.5,22,30,8,16,8,39,39,0,12,3,7,32,25,7,31,5,2026-08-28,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,15362,Portland Thorns FC,2026_15362,2026-09-01,,score,,0.7333333333333333,1.7272727272727273,0.5,0.2727272727272727,10,-1,0.26666666666666666,7,0.5,22,30,8,16,8,38,38,0,11,5,6,36,30,6,31,5,2026-08-28,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,15366,North Carolina Courage,2026_15366,2026-09-01,,score,,0.7333333333333333,1.6363636363636365,0.5,0.3181818181818182,9,2,0.3333333333333333,5,0.5,22,30,8,16,8,36,36,0,11,3,8,40,33,7,31,5,2026-08-29,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,20907,Kansas City Current,2026_20907,2026-09-01,,score,,0.7333333333333333,1.5454545454545454,0.45454545454545453,0.18181818181818182,6,0,0.4,3,0.5,22,30,8,16,8,34,34,0,10,4,8,35,31,4,31,5,2026-08-29,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,15363,Seattle Reign FC,2026_15363,2026-09-01,,score,,0.7,1.4761904761904763,0.42857142857142855,0.0,8,1,0.4666666666666667,0,0.5,21,30,9,16,8,31,31,0,9,4,8,26,26,0,31,5,2026-08-30,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,21422,Angel City FC,2026_21422,2026-09-01,,score,,0.7,1.380952380952381,0.38095238095238093,0.38095238095238093,6,1,0.5333333333333333,-2,0.5,21,30,9,16,8,29,29,0,8,5,8,32,24,8,31,5,2026-08-31,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
2026,131563,Denver Summit FC,2026_131563,2026-09-01,,score,,0.7,1.2857142857142858,0.3333333333333333,0.19047619047619047,7,3,0.6,-4,0.5,21,30,9,16,8,27,27,0,7,6,8,31,27,4,31,5,2026-08-29,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2026&limit=1000
