season,team_id,team,team_season_id,snapshot_date,checkpoint_pct,dataset_role,made_playoffs,season_pct,points_per_game,win_pct,goal_diff_per_game,last_5_points,last_5_goal_diff,points_rank_pct,points_gap_to_cutline,playoff_share,games_played,scheduled_games,games_remaining,league_teams,playoff_spots,points,match_points,points_adjustment,wins,draws,losses,goals_for,goals_against,goal_diff,cutline_points,last_5_games,last_match_date,baseline_top_k,source_url
2016,15362,Portland Thorns FC,2016_15362,2016-06-17,0.4,train,Yes,0.45,1.8888888888888888,0.4444444444444444,0.7777777777777778,9,5,0.0,3,0.4,9,20,11,10,4,17,17,0,4,5,0,12,5,7,14,5,2016-06-17,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15365,Washington Spirit,2016_15365,2016-06-17,0.4,train,Yes,0.35,2.0,0.5714285714285714,0.42857142857142855,8,1,0.3333333333333333,0,0.4,7,20,13,10,4,14,14,0,4,2,1,9,6,3,14,5,2016-06-10,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15360,Chicago Red Stars,2016_15360,2016-06-17,0.4,train,Yes,0.4,1.875,0.5,0.25,9,2,0.16666666666666666,1,0.4,8,20,12,10,4,15,15,0,4,3,1,8,6,2,14,5,2016-06-12,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15366,Western New York Flash,2016_15366,2016-06-17,0.4,train,Yes,0.45,1.6666666666666667,0.5555555555555556,0.3333333333333333,9,5,0.16666666666666666,1,0.4,9,20,11,10,4,15,15,0,5,0,4,13,10,3,14,5,2016-06-17,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15363,Seattle Reign FC,2016_15363,2016-06-17,0.4,train,No,0.4,1.375,0.375,0.125,5,-2,0.5555555555555556,-3,0.4,8,20,12,10,4,11,11,0,3,2,3,8,7,1,14,5,2016-06-12,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15361,FC Kansas City,2016_15361,2016-06-17,0.4,train,No,0.4,0.75,0.125,-0.25,5,0,0.8888888888888888,-8,0.4,8,20,12,10,4,6,6,0,1,3,4,5,7,-2,14,5,2016-06-11,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15364,Sky Blue FC,2016_15364,2016-06-17,0.4,train,No,0.4,1.125,0.25,-0.375,5,-3,0.6666666666666666,-5,0.4,8,20,12,10,4,9,9,0,2,3,3,9,12,-3,14,5,2016-06-11,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,17346,Houston Dash,2016_17346,2016-06-17,0.4,train,No,0.35,1.0,0.2857142857142857,-0.2857142857142857,4,-2,0.7777777777777778,-7,0.4,7,20,13,10,4,7,7,0,2,1,4,6,8,-2,14,5,2016-06-12,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,18206,Orlando Pride,2016_18206,2016-06-17,0.4,train,No,0.4,1.5,0.5,0.125,9,1,0.4444444444444444,-2,0.4,8,20,12,10,4,12,12,0,4,0,4,8,7,1,14,5,2016-06-11,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15359,Boston Breakers,2016_15359,2016-06-17,0.4,train,No,0.4,0.5,0.125,-1.25,4,-5,1.0,-10,0.4,8,20,12,10,4,4,4,0,1,1,6,2,12,-10,14,5,2016-06-10,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15362,Portland Thorns FC,2016_15362,2016-06-26,0.5,train,Yes,0.55,2.090909090909091,0.5454545454545454,0.9090909090909091,11,5,0.0,6,0.4,11,20,9,10,4,23,23,0,6,5,0,16,6,10,17,5,2016-06-26,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15365,Washington Spirit,2016_15365,2016-06-26,0.5,train,Yes,0.45,1.8888888888888888,0.5555555555555556,0.4444444444444444,7,-1,0.3333333333333333,0,0.4,9,20,11,10,4,17,17,0,5,2,2,12,8,4,17,5,2016-06-25,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15360,Chicago Red Stars,2016_15360,2016-06-26,0.5,train,Yes,0.5,1.8,0.5,0.3,8,2,0.16666666666666666,1,0.4,10,20,10,10,4,18,18,0,5,3,2,11,8,3,17,5,2016-06-22,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15366,Western New York Flash,2016_15366,2016-06-26,0.5,train,Yes,0.5,1.8,0.6,0.9,12,12,0.16666666666666666,1,0.4,10,20,10,10,4,18,18,0,6,0,4,20,11,9,17,5,2016-06-24,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15363,Seattle Reign FC,2016_15363,2016-06-26,0.5,train,No,0.5,1.3,0.3,0.1,6,0,0.6111111111111112,-4,0.4,10,20,10,10,4,13,13,0,3,4,3,8,7,1,17,5,2016-06-25,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15361,FC Kansas City,2016_15361,2016-06-26,0.5,train,No,0.5,1.0,0.2,-0.1,8,2,0.7777777777777778,-7,0.4,10,20,10,10,4,10,10,0,2,4,4,6,7,-1,17,5,2016-06-25,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15364,Sky Blue FC,2016_15364,2016-06-26,0.5,train,No,0.5,1.3,0.3,-0.2,6,-2,0.6111111111111112,-4,0.4,10,20,10,10,4,13,13,0,3,4,3,11,13,-2,17,5,2016-06-25,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,17346,Houston Dash,2016_17346,2016-06-26,0.5,train,No,0.45,0.7777777777777778,0.2222222222222222,-0.4444444444444444,0,-5,0.8888888888888888,-10,0.4,9,20,11,10,4,7,7,0,2,1,6,6,10,-4,17,5,2016-06-23,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,18206,Orlando Pride,2016_18206,2016-06-26,0.5,train,No,0.55,1.3636363636363635,0.45454545454545453,-0.09090909090909091,3,-5,0.4444444444444444,-2,0.4,11,20,9,10,4,15,15,0,5,0,6,10,11,-1,17,5,2016-06-26,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15359,Boston Breakers,2016_15359,2016-06-26,0.5,train,No,0.5,0.4,0.1,-1.9,4,-12,1.0,-13,0.4,10,20,10,10,4,4,4,0,1,1,8,3,22,-19,17,5,2016-06-24,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15362,Portland Thorns FC,2016_15362,2016-07-16,0.6,train,Yes,0.7,1.8571428571428572,0.5,0.5,9,0,0.05555555555555555,5,0.4,14,20,6,10,4,26,26,0,7,5,2,19,12,7,21,5,2016-07-16,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15365,Washington Spirit,2016_15365,2016-07-16,0.6,train,Yes,0.6,2.1666666666666665,0.6666666666666666,0.75,12,6,0.05555555555555555,5,0.4,12,20,8,10,4,26,26,0,8,2,2,19,10,9,21,5,2016-07-16,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15360,Chicago Red Stars,2016_15360,2016-07-16,0.6,train,Yes,0.65,1.6153846153846154,0.46153846153846156,0.0,6,-2,0.3333333333333333,0,0.4,13,20,7,10,4,21,21,0,6,3,4,12,12,0,21,5,2016-07-16,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15366,Western New York Flash,2016_15366,2016-07-16,0.6,train,Yes,0.65,1.9230769230769231,0.6153846153846154,0.9230769230769231,10,7,0.2222222222222222,4,0.4,13,20,7,10,4,25,25,0,8,1,4,26,14,12,21,5,2016-07-16,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15363,Seattle Reign FC,2016_15363,2016-07-16,0.6,train,No,0.65,1.3076923076923077,0.3076923076923077,0.15384615384615385,6,1,0.5555555555555556,-4,0.4,13,20,7,10,4,17,17,0,4,5,4,13,11,2,21,5,2016-07-16,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15361,FC Kansas City,2016_15361,2016-07-16,0.6,train,No,0.65,1.0,0.23076923076923078,-0.23076923076923078,7,-1,0.7777777777777778,-8,0.4,13,20,7,10,4,13,13,0,3,4,6,10,13,-3,21,5,2016-07-16,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15364,Sky Blue FC,2016_15364,2016-07-16,0.6,train,No,0.6,1.3333333333333333,0.3333333333333333,-0.16666666666666666,8,1,0.6666666666666666,-5,0.4,12,20,8,10,4,16,16,0,4,4,4,13,15,-2,21,5,2016-07-09,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
